time,temp,humidity,wind,rain,lat,lon,place
2016-01-01,16.150000000000002,65.03125,9.488541666666666,0.0,28.6,77.2,Delhi
2016-01-02,15.521875,64.32291666666667,8.853125,0.0,28.6,77.2,Delhi
2016-01-03,16.150000000000002,65.19791666666667,10.096874999999999,1.3,28.6,77.2,Delhi
2016-01-04,15.116666666666667,65.92708333333333,10.616666666666667,15.6,28.6,77.2,Delhi
2016-01-05,14.660416666666668,64.52083333333333,10.697916666666666,52.3,28.6,77.2,Delhi
2016-01-06,15.470833333333333,72.14583333333333,9.826041666666667,41.7,28.6,77.2,Delhi
2016-01-07,16.132291666666667,71.66666666666667,8.221874999999999,0.7000000000000001,28.6,77.2,Delhi
2016-01-08,16.728125000000002,75.90625,7.695833333333333,0.8999999999999999,28.6,77.2,Delhi
2016-01-09,17.307291666666668,76.6875,10.747916666666667,0.2,28.6,77.2,Delhi
2016-01-10,18.895833333333332,78.25,12.038541666666667,31.4,28.6,77.2,Delhi
2016-01-11,16.991666666666667,67.375,9.172916666666667,2.2,28.6,77.2,Delhi
2016-01-12,16.8625,69.77083333333333,9.616666666666667,0.6,28.6,77.2,Delhi
2016-01-13,15.775,68.88541666666667,10.953125,0.30000000000000004,28.6,77.2,Delhi
2016-01-14,16.561458333333334,69.0,9.994791666666666,6.8,28.6,77.2,Delhi
2016-01-15,15.695833333333333,76.125,11.402083333333332,19.9,28.6,77.2,Delhi
2016-01-16,16.509375000000002,74.875,11.463541666666666,9.1,28.6,77.2,Delhi
2016-01-17,15.645833333333334,71.47916666666667,8.057291666666666,1.9000000000000001,28.6,77.2,Delhi
2016-01-18,14.488541666666668,69.89583333333333,11.470833333333333,1.0999999999999999,28.6,77.2,Delhi
2016-01-19,14.503124999999999,69.17708333333333,12.413541666666667,9.0,28.6,77.2,Delhi
2016-01-20,16.209374999999998,68.28125,9.536458333333334,0.7,28.6,77.2,Delhi
2016-01-21,15.85,71.92708333333333,9.102083333333333,14.9,28.6,77.2,Delhi
2016-01-22,15.244791666666666,71.33333333333333,7.965625,13.299999999999999,28.6,77.2,Delhi
2016-01-23,15.092708333333334,78.25,13.770833333333334,49.2,28.6,77.2,Delhi
2016-01-24,12.984375,73.83333333333333,11.683333333333332,6.9,28.6,77.2,Delhi
2016-01-25,11.479166666666666,72.45833333333333,9.047916666666667,2.0,28.6,77.2,Delhi
2016-01-26,13.627083333333333,72.29166666666667,10.545833333333333,4.7,28.6,77.2,Delhi
2016-01-27,14.932291666666666,74.73958333333333,10.130208333333334,3.2,28.6,77.2,Delhi
2016-01-28,14.862499999999999,72.92708333333333,7.129166666666666,0.1,28.6,77.2,Delhi
2016-01-29,16.519791666666666,74.20833333333333,7.340625,8.4,28.6,77.2,Delhi
2016-01-30,16.889583333333334,76.34375,8.642708333333333,11.2,28.6,77.2,Delhi
2016-01-31,17.587500000000002,76.625,10.604166666666666,0.0,28.6,77.2,Delhi
2016-02-01,17.587500000000002,74.38541666666667,8.534374999999999,2.5,28.6,77.2,Delhi
2016-02-02,16.086458333333333,68.47916666666667,8.213541666666666,1.1,28.6,77.2,Delhi
2016-02-03,17.733333333333334,68.96875,11.122916666666667,14.1,28.6,77.2,Delhi
2016-02-04,18.453125,65.80208333333333,13.173958333333333,2.0,28.6,77.2,Delhi
2016-02-05,16.311458333333334,63.083333333333336,14.007291666666667,17.1,28.6,77.2,Delhi
2016-02-06,15.515625,60.552083333333336,11.638541666666667,1.4,28.6,77.2,Delhi
2016-02-07,14.848958333333334,65.03125,9.8375,4.4,28.6,77.2,Delhi
2016-02-08,14.384375,67.5625,10.660416666666666,1.1,28.6,77.2,Delhi
2016-02-09,14.567708333333334,68.23958333333333,8.557291666666666,2.1,28.6,77.2,Delhi
2016-02-10,15.575000000000001,67.40625,8.36875,0.7000000000000001,28.6,77.2,Delhi
2016-02-11,15.377083333333333,61.197916666666664,12.055208333333333,0.0,28.6,77.2,Delhi
2016-02-12,14.791666666666666,67.17708333333333,8.890625,1.0,28.6,77.2,Delhi
2016-02-13,14.393749999999999,64.61458333333333,12.355208333333332,0.7000000000000001,28.6,77.2,Delhi
2016-02-14,13.677083333333334,64.23958333333333,11.168750000000001,0.9,28.6,77.2,Delhi
2016-02-15,15.990625,69.47916666666667,8.00625,6.9,28.6,77.2,Delhi
2016-02-16,18.515625,73.78125,12.69375,22.1,28.6,77.2,Delhi
2016-02-17,16.988541666666666,64.98958333333333,8.918750000000001,1.2,28.6,77.2,Delhi
2016-02-18,17.157291666666666,63.0,9.053125,1.4,28.6,77.2,Delhi
2016-02-19,18.164583333333333,67.5625,7.70625,0.5,28.6,77.2,Delhi
2016-02-20,20.289583333333333,74.4375,12.387500000000001,15.6,28.6,77.2,Delhi
2016-02-21,19.303124999999998,74.8125,11.115625,3.3,28.6,77.2,Delhi
2016-02-22,18.554166666666667,70.39583333333333,10.594791666666667,1.8,28.6,77.2,Delhi
2016-02-23,18.353125000000002,71.375,11.139583333333334,6.2,28.6,77.2,Delhi
2016-02-24,19.980208333333334,75.88541666666667,12.027083333333332,23.1,28.6,77.2,Delhi
2016-02-25,20.697916666666668,65.91666666666667,12.602083333333333,4.2,28.6,77.2,Delhi
2016-02-26,18.403125,55.708333333333336,14.239583333333334,0.0,28.6,77.2,Delhi
